,Strategy,Benchmark
CAGR,0.2019804447861009,0.1309878610324775
Annualized Volatility,0.17391972433307146,0.14067490143458394
Sharpe,1.068062459727232,0.8466395940389074
Sortino,1.9391273848395905,1.345313673381494
Max Drawdown,-0.2130411275854892,-0.23927166789642818
Calmar,0.948081936456378,0.5474440922490551
Information Ratio,0.6860116199161612,
Average Monthly Turnover,0.21386238071320945,
Annualized Turnover,2.5663485685585137,
Average Monthly Cost,0.0002138623807132094,
Annualized Cost Drag,0.0025663485685585128,
